,State,Year,total_pop,Uninsured_%,PC_Income,GDP,Flu_%
127,Nevada,2018.0,3027341.0,11.0,50000.0,149663,0.305945052
128,New Hampshire,2018.0,1353465.0,5.0,61471.0,76165,0.126933463
129,New Jersey,2018.0,8886025.0,7.0,67845.0,549000,0.565393413
130,New Mexico,2018.0,2092741.0,9.0,41670.0,93870,1.110744234
131,New York,2018.0,19530351.0,5.0,68657.0,1467076,0.123740736
132,North Carolina,2018.0,10381615.0,10.0,46216.0,501955,0.320296987
133,North Dakota,2018.0,758080.0,7.0,55788.0,53472,0.137716336
134,Ohio,2018.0,11676341.0,6.0,48747.0,606141,0.102266626
135,Oklahoma,2018.0,3940235.0,14.0,45843.0,193204,0.270009276
136,Oregon,2018.0,4181886.0,7.0,51500.0,219279,0.691219225
137,Pennsylvania,2018.0,12800922.0,5.0,56032.0,708856,0.411931266
138,Rhode Island,2018.0,1058287.0,4.0,54431.0,53135,0.357558961
139,South Carolina,2018.0,5084156.0,10.0,43912.0,209012,0.25129048
140,South Dakota,2018.0,878698.0,9.0,52633.0,47287,0.995108672
141,Tennessee,2018.0,6771631.0,10.0,47210.0,323316,0.096771369
142,Texas,2018.0,28628666.0,17.0,51136.0,1715231,0.207669474
143,Utah,2018.0,3153550.0,9.0,47008.0,162574,0.565711658
144,Vermont,2018.0,624358.0,4.0,53531.0,29565,0.435487333
145,Virginia,2018.0,8501286.0,8.0,57964.0,478835,1.53702628
146,Washington,2018.0,7523869.0,6.0,62209.0,524486,0.046226217
147,West Virginia,2018.0,1804291.0,6.0,41192.0,71858,0.499808512
148,Wisconsin,2018.0,5807406.0,5.0,51628.0,303767,0.142318274
149,Wyoming,2018.0,577601.0,10.0,60689.0,38696,0.727145555
150,Alabama,2019.0,4903185.0,9.7,44145.0,200829,1.40161956
151,Alaska,2019.0,731545.0,12.2,62806.0,53255,1.127613476
152,Arizona,2019.0,7278717.0,11.3,46058.0,323597,0.281697997
153,Arkansas,2019.0,3017804.0,9.1,44629.0,117447,0.196798732
154,California,2019.0,39512223.0,7.7,66619.0,2800505,0.132136327
155,Colorado,2019.0,5758736.0,8.0,61157.0,356280,1.15047816
156,Connecticut,2019.0,3565287.0,5.9,77289.0,251329,0.479540637
157,Delaware,2019.0,973764.0,6.6,54485.0,64319,0.056687247
158,Florida,2019.0,21477737.0,13.2,52426.0,963255,0.137402744
159,Georgia,2019.0,10617423.0,13.4,48236.0,547422,1.283804931
160,Hawaii,2019.0,1415872.0,4.2,57015.0,82471,0.186033766
161,Idaho,2019.0,1787065.0,10.8,45968.0,74937,0.045493589
162,Illinois,2019.0,12671821.0,7.4,58764.0,773135,0.418992661
163,Indiana,2019.0,6732219.0,8.7,48678.0,337636,0.0681796
164,Iowa,2019.0,3155070.0,5.0,51865.0,173515,0.1056078
165,Kansas,2019.0,2913314.0,9.2,53426.0,160059,0.498710403
166,Kentucky,2019.0,4467673.0,6.4,43770.0,190811,0.370215099
167,Louisiana,2019.0,4648794.0,8.9,47460.0,239967,2.95672383
168,Maine,2019.0,1344212.0,8.0,50634.0,58793,0.80530452
169,Maryland,2019.0,6045680.0,6.0,64640.0,374039,0.34922457
170,Massachusetts,2019.0,6892503.0,3.0,74187.0,519961,0.616466906
171,Michigan,2019.0,9986857.0,5.8,49228.0,471648,0.153601879
172,Minnesota,2019.0,5639632.0,4.9,58834.0,341041,0.14745643
173,Mississippi,2019.0,2976149.0,13.0,38914.0,102656,1.051627455
174,Missouri,2019.0,6137428.0,10.0,48656.0,287659,0.050200182
175,Montana,2019.0,1068778.0,8.3,49747.0,47916,0.54557635
176,Nebraska,2019.0,1934408.0,8.3,54515.0,117395,0.783392128
177,Nevada,2019.0,3080156.0,11.4,51161.0,153728,0.274077027
178,New Hampshire,2019.0,1359711.0,6.3,63502.0,77240,0.09104876
179,New Jersey,2019.0,8882190.0,7.9,70471.0,556731,0.593468503
180,New Mexico,2019.0,2096829.0,10.0,43326.0,98765,1.4143738
181,New York,2019.0,19453561.0,5.2,71717.0,1490678,0.279851077
182,North Carolina,2019.0,10488084.0,11.3,47766.0,511539,0.96689729
183,North Dakota,2019.0,762062.0,6.9,57232.0,53930,0.463479349
184,Ohio,2019.0,11689100.0,6.6,50199.0,615474,0.078911122
185,Oklahoma,2019.0,3956971.0,14.3,47341.0,197900,0.341523858
186,Oregon,2019.0,4217737.0,7.2,53191.0,225336,0.796256381
187,Pennsylvania,2019.0,12801989.0,5.8,58032.0,726165,0.336650813
188,Rhode Island,2019.0,1059361.0,4.1,56361.0,53668,0.405527483
189,South Carolina,2019.0,5148714.0,10.8,45438.0,214933,0.425815068
190,South Dakota,2019.0,884659.0,10.2,53962.0,47559,0.983316736
191,Tennessee,2019.0,6829174.0,10.1,48684.0,328406,0.455033068
192,Texas,2019.0,28995881.0,18.4,52813.0,1764357,0.21654455
193,Utah,2019.0,3205958.0,9.7,48939.0,168792,0.899138417
194,Vermont,2019.0,623989.0,4.5,55293.0,29806,0.765718626
195,Virginia,2019.0,8535519.0,7.9,59657.0,489168,1.670068334
196,Washington,2019.0,7614893.0,6.6,64758.0,548686,0.142418285
197,West Virginia,2019.0,1792147.0,6.7,42315.0,72340,0.647212533
198,Wisconsin,2019.0,5822434.0,5.7,53227.0,308044,0.305250347
199,Wyoming,2019.0,578759.0,12.3,62189.0,39214,0.542540159
